City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Freeport,US,2022-02-02 18:54:44,40.6576,-73.5832,46.76,84,100,3.0
211,Lysyanka,UA,2022-02-02 18:57:01,49.2523,30.8295,25.09,96,86,7.14
212,Ranikhet,IN,2022-02-02 18:57:01,29.65,79.4167,39.69,73,92,4.63
213,Fort-Shevchenko,KZ,2022-02-02 18:57:02,44.5086,50.263,41.76,87,91,12.39
214,Dingtao,CN,2022-02-02 18:57:02,35.0683,115.5625,32.88,44,57,5.84
215,Jackson,US,2022-02-02 18:56:46,42.4165,-122.8345,42.75,71,64,1.14
216,Fez,MA,2022-02-02 18:55:41,34.0372,-4.9998,66.31,28,0,6.91
217,Bonfim,BR,2022-02-02 18:57:02,3.0833,-59.95,93.15,42,93,8.34
218,Vao,NC,2022-02-02 18:57:03,-22.6667,167.4833,77.83,82,100,19.01
219,Mahebourg,MU,2022-02-02 18:55:09,-20.4081,57.7,79.25,94,75,27.63
220,Baffa,PK,2022-02-02 18:57:03,34.4378,73.2194,42.78,96,100,1.74
221,Banda Aceh,ID,2022-02-02 18:52:09,5.5577,95.3222,77.68,85,26,6.22
222,Marzuq,YE,2022-02-02 18:57:03,14.4,46.4667,68.14,50,99,3.44
223,Jefferson City,US,2022-02-02 18:57:04,38.5767,-92.1735,21.36,69,100,11.99
224,Carndonagh,IE,2022-02-02 18:57:04,55.25,-7.2667,49.62,89,100,12.26
225,Maniitsoq,GL,2022-02-02 18:57:04,65.4167,-52.9,1.71,83,100,17.9
226,Talnakh,RU,2022-02-02 18:57:05,69.4865,88.3972,1.2,98,96,6.53
227,Bengkulu,ID,2022-02-02 18:58:05,-3.8004,102.2655,76.42,89,100,5.08
228,Alyangula,AU,2022-02-02 18:58:05,-13.8483,136.4192,82.27,83,100,8.05
229,Bambous Virieux,MU,2022-02-02 18:55:08,-20.3428,57.7575,79.21,94,75,27.63
230,Jalingo,NG,2022-02-02 18:58:06,8.8833,11.3667,78.62,18,7,5.41
231,Lavrentiya,RU,2022-02-02 18:58:06,65.5833,-171.0,0.75,69,1,20.78
232,Saint-Philippe,RE,2022-02-02 18:56:05,-21.3585,55.7679,80.19,93,100,31.32
233,Horsham,GB,2022-02-02 18:58:06,51.064,-0.3272,50.11,73,75,5.75
234,Charters Towers,AU,2022-02-02 18:58:07,-20.1,146.2667,77.5,86,100,5.66
235,Thinadhoo,MV,2022-02-02 18:58:07,0.5333,72.9333,82.81,70,20,8.05
236,Sao Joao Da Barra,BR,2022-02-02 18:58:07,-21.6403,-41.0511,78.89,82,98,9.26
237,Ust-Nera,RU,2022-02-02 18:58:07,64.5667,143.2,-16.83,99,98,2.39
238,Grindavik,IS,2022-02-02 18:58:08,63.8424,-22.4338,28.87,59,75,10.36
239,Ahipara,NZ,2022-02-02 18:54:55,-35.1667,173.1667,68.41,89,99,11.32
240,Sinnamary,GF,2022-02-02 18:58:09,5.3833,-52.95,80.55,76,28,11.41
241,Nanortalik,GL,2022-02-02 18:58:09,60.1432,-45.2371,6.46,74,0,12.57
242,Dongying,CN,2022-02-02 18:58:09,37.4564,118.4856,28.26,50,0,3.83
243,Bridlington,GB,2022-02-02 18:58:09,54.0831,-0.1919,50.9,90,100,14.97
244,Xai-Xai,MZ,2022-02-02 18:58:10,-25.0519,33.6442,77.49,79,0,11.23
245,Zarinsk,RU,2022-02-02 18:58:10,53.7074,84.9493,-0.56,100,88,1.92
246,North Bend,US,2022-02-02 18:58:11,43.4065,-124.2243,48.07,98,100,1.3
247,Abnub,EG,2022-02-02 18:58:11,27.2696,31.1511,61.02,32,100,4.16
248,Wufeng,CN,2022-02-02 18:58:11,27.45,104.8333,25.02,96,96,1.74
249,Saint George,US,2022-02-02 18:58:11,37.1041,-113.5841,41.63,22,0,1.99
250,Laguna,US,2022-02-02 18:58:12,38.421,-121.4238,58.87,33,0,10.0
251,Basoko,CD,2022-02-02 18:58:12,1.2391,23.616,76.57,66,100,4.07
252,Umm Kaddadah,SD,2022-02-02 18:58:12,13.6017,26.6876,73.92,17,19,6.15
253,Hellvik,NO,2022-02-02 18:58:13,59.9156,5.781,36.77,91,100,2.21
254,Bagdarin,RU,2022-02-02 18:58:13,54.4333,113.6,-19.59,96,5,4.29
255,San Juan,AR,2022-02-02 18:58:13,-31.5375,-68.5364,85.98,37,26,17.36
256,Chicama,PE,2022-02-02 18:58:14,-7.8447,-79.1469,70.34,52,4,14.03
257,Altamira,BR,2022-02-02 18:58:14,-3.2033,-52.2064,89.69,62,75,8.05
258,Ust-Ishim,RU,2022-02-02 18:58:14,57.6935,71.1665,21.47,94,100,9.42
259,Yarada,IN,2022-02-02 18:58:14,17.65,83.2667,71.92,94,20,2.3
260,Arraial Do Cabo,BR,2022-02-02 18:58:15,-22.9661,-42.0278,84.16,78,40,11.5
261,Ixtapa,MX,2022-02-02 18:56:32,20.7,-105.2,84.69,28,0,8.16
262,Gazanjyk,TM,2022-02-02 18:58:15,39.2446,55.5154,48.34,46,0,10.94
263,Manokwari,ID,2022-02-02 18:58:15,-0.8667,134.0833,76.01,83,93,3.94
264,Acolla,PE,2022-02-02 18:58:16,-11.7319,-75.5463,57.51,59,96,4.72
265,Palora,EC,2022-02-02 18:58:16,-1.7,-77.9333,71.71,80,98,1.92
266,Atlantis,ZA,2022-02-02 18:58:17,-33.5667,18.4834,65.95,97,100,8.55
267,Katsuura,JP,2022-02-02 18:58:17,35.1333,140.3,37.51,57,10,9.13
268,Kloulklubed,PW,2022-02-02 18:58:17,7.0419,134.2556,79.43,81,100,17.96
269,Haapiti,PF,2022-02-02 18:58:18,-17.5667,-149.8667,83.93,74,0,16.35
270,Roebourne,AU,2022-02-02 18:58:18,-20.7833,117.1333,82.45,70,100,9.6
271,Neiafu,TO,2022-02-02 18:58:18,-18.65,-173.9833,81.28,78,20,4.61
272,Anadyr,RU,2022-02-02 18:59:18,64.75,177.4833,7.0,59,0,17.02
273,Luoyang,CN,2022-02-02 18:59:19,34.6836,112.4536,33.94,68,100,0.96
274,Labrea,BR,2022-02-02 18:59:19,-7.2586,-64.7981,77.5,96,100,3.49
275,Caucaia,BR,2022-02-02 18:59:19,-3.7361,-38.6531,85.95,80,40,14.97
276,Najran,SA,2022-02-02 18:59:20,17.4924,44.1277,61.45,37,0,3.51
277,Kahului,US,2022-02-02 18:59:20,20.8947,-156.47,71.69,78,0,7.67
278,Zhicheng,CN,2022-02-02 18:59:20,30.2956,111.5047,36.95,69,100,2.35
279,Nokaneng,BW,2022-02-02 18:59:21,-19.6667,22.2667,77.54,62,98,5.39
280,Xapuri,BR,2022-02-02 18:59:21,-10.6517,-68.5044,83.05,84,68,3.24
281,Gabu,GW,2022-02-02 18:59:21,12.2833,-14.2167,89.08,9,0,4.36
282,Thunder Bay,CA,2022-02-02 18:56:07,48.4001,-89.3168,5.56,52,0,14.97
283,Gizo,SB,2022-02-02 18:59:21,-8.103,156.8419,81.68,79,100,15.9
284,Astana,KZ,2022-02-02 18:59:22,51.1801,71.446,4.95,92,0,4.47
285,Aklavik,CA,2022-02-02 18:59:22,68.2191,-135.0107,-29.2,75,20,3.44
286,Rawson,AR,2022-02-02 18:59:22,-43.3002,-65.1023,81.9,29,100,12.53
287,Port Lincoln,AU,2022-02-02 18:59:23,-34.7333,135.8667,61.77,77,51,12.59
288,Omsukchan,RU,2022-02-02 18:59:23,62.5333,155.8,-16.73,100,100,5.82
289,Peniche,PT,2022-02-02 18:59:23,39.3558,-9.3811,59.61,80,100,6.8
290,Itoman,JP,2022-02-02 18:59:23,26.1247,127.6694,69.82,88,75,11.5
291,Ongandjera,NA,2022-02-02 18:59:24,-17.8833,15.0667,85.75,21,86,8.7
292,Atasu,KZ,2022-02-02 18:59:24,48.6814,71.6433,12.52,86,100,4.38
